Customer_ID,Company_Name,Industry,Country,Company_Size,Account_Manager,Plan_Tier,Billing_Cycle,Monthly_Recurring_Revenue,Signup_Date,Last_Active_Date,Payment_Status,Active_Seats_Used,Total_Seats_Allowed,Support_Tickets_30d,Feature_Adoption_Rate,Churn_Risk_Score,Is_Churned
CUST-1019,Vibe Solutions 587,FinTech,Australia,51-200,Sarah Jenkins,Pro,Annual,499,03/02/2025,21/02/2026,Active,18,21,3,94%,Low,0
CUST-1020,Hyper Solutions 236,FinTech,India,51-200,Elena Rostova,Pro,Annual,299,30/09/2025,15/02/2026,Active,30,45,3,69%,Low,0
CUST-1021,Hyper Logic 321,MarTech,Germany,01-Oct,Aisha Khan,Starter,Monthly,99,06/01/2023,19/02/2026,Active,2,5,4,56%,Low,0
CUST-1022,Cloud Scale 857,CyberSecurity,France,Nov-50,Marcus Vance,Starter,Annual,129,28/03/2024,27/02/2026,Active,4,6,3,77%,Low,0
CUST-1023,Cloud Sphere 498,EdTech,Germany,01-Oct,Marcus Vance,Starter,Annual,129,01/10/2025,19/02/2026,Pending,4,7,2,65%,Low,0
CUST-1024,Cloud Tech 367,CyberSecurity,Canada,01-Oct,David Ross,Starter,Monthly,49,16/01/2023,24/02/2026,Active,3,4,2,86%,Low,0
CUST-1025,Data Labs 855,CyberSecurity,Germany,01-Oct,David Ross,Starter,Monthly,99,20/09/2023,26/02/2026,Active,2,6,5,48%,Low,0
CUST-1026,Cloud Net 459,CyberSecurity,Germany,201-500,David Ross,Enterprise,Monthly,7750,13/02/2023,16/02/2026,Active,220,239,3,93%,Low,0
CUST-1027,Quantum Sphere 711,CyberSecurity,Canada,01-Oct,Sarah Jenkins,Starter,Monthly,129,23/12/2024,17/02/2026,Active,3,4,1,78%,Low,0
CUST-1028,Pulse Flow 235,Logistics,Canada,Nov-50,Elena Rostova,Starter,Monthly,49,11/10/2025,24/02/2026,Active,8,10,2,88%,Low,0
CUST-1029,Omni Net 490,E-Commerce,Australia,201-500,Sarah Jenkins,Pro,Annual,299,14/10/2023,17/02/2026,Active,11,22,6,56%,Low,0
CUST-1030,Apex Metrics 295,FinTech,Singapore,51-200,Sarah Jenkins,Pro,Monthly,249,03/09/2023,19/02/2026,Active,20,32,4,59%,Low,0
CUST-1031,Hyper Scale 276,EdTech,Singapore,51-200,Aisha Khan,Pro,Monthly,499,22/07/2024,16/02/2026,Active,15,20,4,67%,Low,0
CUST-1032,Data AI 502,Logistics,UK,51-200,Aisha Khan,Pro,Monthly,299,04/05/2023,22/02/2026,Active,11,24,5,52%,Low,0
CUST-1033,Pulse Metrics 608,DevTools,Canada,1000+,David Ross,Enterprise,Monthly,8326,21/01/2026,17/02/2026,Active,187,276,4,72%,Low,0
CUST-1034,Apex AI 899,E-Commerce,USA,51-200,Marcus Vance,Pro,Annual,499,02/07/2023,18/02/2026,Active,48,52,2,95%,Low,0
CUST-1035,Quantum Net 123,Logistics,France,01-Oct,David Ross,Starter,Annual,99,22/01/2026,19/02/2026,Active,8,9,3,95%,Low,0
CUST-1036,Data Logic 925,MarTech,France,51-200,David Ross,Pro,Monthly,399,30/09/2024,16/02/2026,Active,34,45,2,87%,Low,0
CUST-1037,Hyper Flow 630,FinTech,Australia,01-Oct,Marcus Vance,Starter,Annual,49,15/11/2025,19/02/2026,Active,5,7,2,86%,Low,0
CUST-1038,Quantum Scale 379,CyberSecurity,UK,01-Oct,Marcus Vance,Starter,Annual,49,11/03/2023,23/02/2026,Active,4,6,2,78%,Low,0
CUST-1039,Quantum Solutions 858,FinTech,Canada,Nov-50,Aisha Khan,Starter,Annual,129,23/11/2024,28/02/2026,Active,5,8,4,63%,Low,0
CUST-1040,Secure Labs 191,CyberSecurity,UK,1000+,Sarah Jenkins,Enterprise,Monthly,4972,22/03/2025,23/02/2026,Active,370,535,3,79%,Low,0
CUST-1041,Quantum Flow 586,CyberSecurity,India,01-Oct,Sarah Jenkins,Starter,Annual,129,04/05/2024,28/02/2026,Active,1,3,2,63%,Low,0
CUST-1042,Vibe AI 285,FinTech,Canada,Nov-50,Sarah Jenkins,Starter,Monthly,79,17/02/2025,17/02/2026,Pending,5,6,1,88%,Low,0
CUST-1043,Secure Labs 160,E-Commerce,Singapore,201-500,Elena Rostova,Enterprise,Monthly,6197,09/01/2026,25/02/2026,Active,88,168,2,58%,Low,0
CUST-1044,Omni Tech 996,MarTech,Australia,01-Oct,Aisha Khan,Starter,Monthly,99,13/11/2024,26/02/2026,Active,3,4,3,99%,Low,0
CUST-1045,Omni Scale 125,FinTech,France,01-Oct,David Ross,Starter,Annual,79,03/05/2025,21/02/2026,Active,4,6,1,76%,Low,0
CUST-1046,Pulse AI 106,FinTech,USA,01-Oct,David Ross,Starter,Annual,129,22/06/2025,25/02/2026,Active,7,10,5,69%,Low,0
CUST-1047,Data Tech 592,EdTech,Canada,01-Oct,Sarah Jenkins,Starter,Monthly,129,11/01/2025,27/02/2026,Active,2,3,5,81%,Low,0
CUST-1048,Apex Sphere 308,EdTech,Singapore,01-Oct,Marcus Vance,Starter,Annual,99,27/07/2023,17/02/2026,Active,3,4,3,71%,Low,0
CUST-1049,Nexus AI 149,E-Commerce,Singapore,01-Oct,Marcus Vance,Starter,Monthly,79,17/07/2024,26/02/2026,Active,2,4,2,56%,Low,0
CUST-1050,Apex Labs 530,CyberSecurity,Germany,201-500,Elena Rostova,Pro,Annual,299,24/12/2022,27/02/2026,Active,25,54,3,41%,Low,0
CUST-1051,Apex Labs 175,HealthTech,USA,01-Oct,Aisha Khan,Starter,Monthly,99,06/06/2023,16/02/2026,Active,6,7,3,100%,Low,0
CUST-1052,Apex Sphere 441,HealthTech,UK,201-500,Aisha Khan,Enterprise,Monthly,3036,04/03/2023,15/02/2026,Active,372,680,5,50%,Low,0
CUST-1053,Omni Scale 918,EdTech,UK,01-Oct,Sarah Jenkins,Starter,Monthly,79,30/04/2024,21/02/2026,Active,5,10,2,57%,Low,0
CUST-1054,Hyper Scale 945,E-Commerce,USA,51-200,David Ross,Pro,Monthly,399,30/11/2022,26/02/2026,Active,32,35,2,91%,Low,0
CUST-1055,Omni Metrics 528,HealthTech,Canada,51-200,Sarah Jenkins,Pro,Monthly,499,03/02/2023,18/02/2026,Active,24,29,4,90%,Low,0
CUST-1056,Pulse Labs 387,EdTech,Australia,01-Oct,Aisha Khan,Starter,Monthly,99,17/03/2023,20/02/2026,Active,5,7,2,83%,Low,0
CUST-1057,Cloud Net 393,CyberSecurity,India,01-Oct,Aisha Khan,Starter,Annual,99,10/07/2023,15/02/2026,Active,3,8,6,52%,Low,0
CUST-1058,Vibe AI 731,CyberSecurity,Canada,201-500,Aisha Khan,Pro,Monthly,399,15/09/2023,23/02/2026,Active,29,33,1,98%,Low,0
CUST-1059,Hyper Sphere 140,HealthTech,Singapore,Nov-50,David Ross,Starter,Monthly,99,22/04/2023,25/02/2026,Pending,2,6,6,38%,Low,0
CUST-1060,Apex Logic 485,MarTech,UK,Nov-50,Sarah Jenkins,Starter,Monthly,129,25/07/2023,23/02/2026,Active,1,3,5,38%,Low,0
CUST-1061,Data Solutions 662,DevTools,Australia,01-Oct,Sarah Jenkins,Starter,Annual,79,26/12/2025,27/02/2026,Active,4,7,5,67%,Low,0
CUST-1062,Pulse Sphere 207,MarTech,Singapore,51-200,Marcus Vance,Pro,Monthly,499,02/09/2025,22/02/2026,Active,22,44,4,46%,Low,0
CUST-1063,Vibe Scale 401,DevTools,USA,Nov-50,Sarah Jenkins,Starter,Annual,49,11/01/2026,15/02/2026,Active,7,8,2,82%,Low,0
CUST-1064,Apex Logic 753,MarTech,USA,Nov-50,Elena Rostova,Starter,Annual,99,21/09/2024,24/02/2026,Active,7,9,4,77%,Low,0
CUST-1065,Cloud Tech 948,HealthTech,Australia,Nov-50,Sarah Jenkins,Starter,Monthly,129,15/12/2022,25/02/2026,Failed,4,5,3,92%,Low,0
CUST-1066,Vibe Flow 303,E-Commerce,Canada,01-Oct,Marcus Vance,Starter,Annual,79,06/08/2025,22/02/2026,Active,6,7,1,93%,Low,0
CUST-1067,Omni Scale 197,FinTech,Germany,01-Oct,Sarah Jenkins,Starter,Monthly,49,28/06/2023,21/02/2026,Active,3,6,5,61%,Low,0
CUST-1068,Data Tech 123,FinTech,Canada,01-Oct,Elena Rostova,Starter,Monthly,49,28/12/2025,15/02/2026,Active,2,6,4,48%,Low,0
CUST-1069,Data Metrics 246,CyberSecurity,Australia,01-Oct,Marcus Vance,Starter,Annual,49,02/06/2023,26/02/2026,Active,4,7,6,55%,Low,0
CUST-1070,Data Metrics 835,CyberSecurity,Australia,1000+,David Ross,Enterprise,Monthly,2151,20/01/2023,28/02/2026,Active,195,213,3,95%,Low,0
CUST-1071,Quantum AI 430,Logistics,India,01-Oct,Marcus Vance,Starter,Monthly,129,14/03/2024,15/02/2026,Active,2,7,6,41%,Low,0
CUST-1072,Omni Flow 180,CyberSecurity,USA,Nov-50,Marcus Vance,Starter,Monthly,49,07/02/2023,18/02/2026,Active,1,4,6,43%,Low,0
CUST-1073,Cloud Scale 873,MarTech,UK,51-200,Aisha Khan,Pro,Monthly,499,30/11/2022,16/02/2026,Active,25,58,6,37%,Low,0
CUST-1074,Pulse Metrics 445,Logistics,UK,201-500,Sarah Jenkins,Pro,Annual,399,25/09/2024,24/02/2026,Active,29,44,4,65%,Low,0
CUST-1075,Omni Metrics 749,HealthTech,Australia,01-Oct,Marcus Vance,Starter,Annual,129,01/11/2024,26/02/2026,Pending,4,9,4,48%,Low,0
CUST-1076,Apex Labs 815,E-Commerce,France,51-200,Sarah Jenkins,Pro,Annual,399,07/05/2023,27/02/2026,Active,19,31,2,73%,Low,0
CUST-1077,Data Solutions 952,HealthTech,UK,Nov-50,Sarah Jenkins,Starter,Annual,129,08/06/2025,16/02/2026,Active,3,6,2,73%,Low,0
CUST-1078,Secure Sphere 809,HealthTech,Australia,01-Oct,Sarah Jenkins,Starter,Monthly,49,17/03/2025,26/02/2026,Failed,1,3,6,47%,Medium,0
CUST-1079,Secure Labs 453,HealthTech,Germany,01-Oct,Elena Rostova,Starter,Monthly,49,23/04/2024,27/02/2026,Active,5,8,4,67%,Low,0
CUST-1080,Nexus Flow 262,Logistics,France,51-200,Elena Rostova,Pro,Monthly,399,29/04/2025,21/02/2026,Active,14,23,2,63%,Low,0
CUST-1081,Apex Logic 344,FinTech,Singapore,01-Oct,David Ross,Starter,Annual,79,15/12/2024,15/02/2026,Active,2,3,0,100%,Low,0
CUST-1082,Quantum Solutions 639,FinTech,Singapore,01-Oct,Sarah Jenkins,Starter,Monthly,79,27/02/2024,21/02/2026,Active,9,10,1,90%,Low,0
CUST-1083,Omni Sphere 557,HealthTech,Australia,51-200,David Ross,Pro,Monthly,399,01/04/2025,16/02/2026,Active,18,33,5,53%,Low,0
CUST-1084,Cloud Metrics 490,HealthTech,Canada,51-200,Aisha Khan,Pro,Monthly,249,28/02/2025,28/02/2026,Pending,43,53,3,91%,Low,0
CUST-1085,Omni Sphere 295,FinTech,France,201-500,Marcus Vance,Enterprise,Annual,1900,05/12/2024,17/02/2026,Active,311,434,4,65%,Low,0
CUST-1086,Apex Labs 116,DevTools,France,51-200,Aisha Khan,Pro,Monthly,499,21/12/2024,26/02/2026,Failed,13,22,6,57%,Low,0
CUST-1087,Apex Metrics 634,CyberSecurity,India,201-500,Elena Rostova,Pro,Monthly,299,20/10/2025,27/02/2026,Active,21,53,5,31%,Low,0
CUST-1088,Cloud Metrics 413,DevTools,France,201-500,Elena Rostova,Pro,Annual,399,18/08/2024,26/02/2026,Active,24,40,2,69%,Low,0
CUST-1089,Apex Tech 293,Logistics,Canada,01-Oct,Elena Rostova,Starter,Monthly,79,03/09/2024,23/02/2026,Active,2,3,4,77%,Low,0
CUST-1090,Vibe Labs 337,MarTech,Australia,01-Oct,Aisha Khan,Starter,Monthly,79,12/08/2025,16/02/2026,Active,7,10,4,71%,Low,0
CUST-1091,Cloud Metrics 827,Logistics,India,201-500,Aisha Khan,Enterprise,Annual,5335,29/05/2023,24/02/2026,Active,521,918,3,55%,Low,0
CUST-1092,Vibe Flow 596,E-Commerce,Singapore,201-500,David Ross,Pro,Annual,299,07/07/2025,25/02/2026,Active,26,44,4,63%,Low,0
CUST-1093,Secure Sphere 680,FinTech,USA,01-Oct,Elena Rostova,Starter,Monthly,99,09/11/2024,22/02/2026,Active,2,3,3,77%,Low,0
CUST-1094,Apex Scale 902,MarTech,Germany,01-Oct,David Ross,Starter,Monthly,99,13/02/2024,20/02/2026,Active,1,3,3,67%,Low,0
CUST-1095,Cloud Net 546,Logistics,Canada,Nov-50,David Ross,Starter,Monthly,79,22/11/2022,27/02/2026,Active,3,7,7,41%,Low,0
CUST-1096,Pulse Solutions 292,MarTech,Australia,Nov-50,Marcus Vance,Starter,Monthly,49,27/11/2025,26/02/2026,Active,4,7,4,52%,Low,0
CUST-1097,Data Solutions 996,HealthTech,India,01-Oct,Sarah Jenkins,Starter,Monthly,99,01/08/2025,25/02/2026,Active,6,7,4,82%,Low,0
CUST-1098,Secure Scale 584,FinTech,France,51-200,Marcus Vance,Pro,Monthly,499,23/11/2023,17/02/2026,Active,29,49,5,71%,Low,0
CUST-1099,Omni Labs 726,CyberSecurity,Singapore,01-Oct,David Ross,Starter,Monthly,99,09/01/2026,25/02/2026,Active,2,4,3,60%,Low,0
CUST-1100,Data Tech 994,FinTech,India,01-Oct,Elena Rostova,Starter,Monthly,79,24/03/2024,19/02/2026,Active,2,7,6,43%,Low,0
CUST-1101,Secure Metrics 549,CyberSecurity,Germany,01-Oct,Marcus Vance,Starter,Monthly,99,20/04/2025,15/02/2026,Failed,5,10,6,52%,Medium,0
CUST-1102,Nexus Tech 660,E-Commerce,France,Nov-50,Sarah Jenkins,Starter,Annual,79,10/07/2023,18/02/2026,Active,4,10,7,43%,Low,0
CUST-1103,Secure Net 913,DevTools,Australia,501-1000,David Ross,Enterprise,Annual,4748,25/08/2025,23/02/2026,Active,98,201,3,43%,Low,0
CUST-1104,Omni Metrics 912,FinTech,Singapore,201-500,Sarah Jenkins,Enterprise,Monthly,6698,22/09/2023,18/02/2026,Active,621,750,3,88%,Low,0
CUST-1105,Data Net 796,Logistics,Singapore,51-200,Aisha Khan,Pro,Annual,249,21/02/2025,23/02/2026,Active,38,39,2,100%,Low,0
CUST-1106,Secure Scale 798,EdTech,Germany,01-Oct,Aisha Khan,Starter,Monthly,49,13/10/2024,19/02/2026,Failed,8,9,0,93%,Low,0
CUST-1107,Secure AI 479,EdTech,Australia,201-500,Aisha Khan,Pro,Monthly,249,19/09/2025,28/02/2026,Active,16,32,4,45%,Low,0
CUST-1108,Cloud Flow 256,CyberSecurity,Australia,01-Oct,Aisha Khan,Starter,Monthly,99,15/10/2024,27/02/2026,Active,6,7,2,100%,Low,0
CUST-1109,Data Labs 711,FinTech,Singapore,51-200,Elena Rostova,Pro,Monthly,499,25/12/2022,17/02/2026,Active,41,44,2,94%,Low,0
CUST-1110,Apex Labs 359,EdTech,France,501-1000,Marcus Vance,Enterprise,Annual,7482,17/03/2024,18/02/2026,Active,566,784,4,63%,Low,0
CUST-1111,Quantum Scale 909,EdTech,Australia,01-Oct,Marcus Vance,Starter,Annual,129,03/09/2025,16/02/2026,Active,3,4,4,85%,Low,0
CUST-1112,Vibe Scale 851,MarTech,Australia,51-200,Sarah Jenkins,Pro,Monthly,399,07/11/2025,19/02/2026,Active,15,39,4,51%,Low,0
CUST-1113,Nexus Solutions 796,DevTools,Germany,01-Oct,Sarah Jenkins,Starter,Monthly,79,05/03/2024,16/02/2026,Active,2,5,6,49%,Low,0
CUST-1114,Nexus Logic 462,FinTech,UK,01-Oct,Marcus Vance,Starter,Annual,99,06/02/2024,24/02/2026,Active,2,3,4,77%,Low,0
CUST-1115,Apex Logic 109,E-Commerce,Canada,201-500,David Ross,Enterprise,Annual,3917,15/12/2024,26/02/2026,Active,293,622,4,46%,Low,0
CUST-1116,Data Scale 964,DevTools,USA,51-200,Elena Rostova,Pro,Monthly,249,04/03/2024,16/02/2026,Active,15,24,3,60%,Low,0
CUST-1117,Quantum Tech 557,EdTech,India,Nov-50,Aisha Khan,Starter,Monthly,99,25/08/2025,02/11/2025,Pending,3,5,5,62%,Low,1
CUST-1118,Omni Net 738,E-Commerce,France,51-200,Sarah Jenkins,Pro,Annual,499,13/01/2025,25/02/2026,Active,29,49,4,56%,Low,0
CUST-1119,Quantum Labs 453,DevTools,Australia,Nov-50,David Ross,Starter,Monthly,79,21/05/2024,17/02/2026,Active,2,4,4,75%,Low,0
CUST-1120,Omni Logic 965,FinTech,Singapore,01-Oct,Aisha Khan,Starter,Monthly,99,27/01/2026,18/02/2026,Active,2,5,4,56%,Low,0
CUST-1121,Nexus Flow 653,MarTech,Germany,01-Oct,Aisha Khan,Starter,Annual,129,02/07/2025,21/02/2026,Active,7,10,3,74%,Low,0
CUST-1122,Data Tech 889,HealthTech,France,Nov-50,Marcus Vance,Starter,Monthly,129,21/07/2023,18/02/2026,Active,4,8,4,62%,Low,0
CUST-1123,Nexus Tech 163,FinTech,Singapore,Nov-50,Marcus Vance,Starter,Annual,99,20/11/2022,24/02/2026,Active,6,10,5,59%,Low,0
CUST-1124,Pulse Logic 200,FinTech,India,201-500,David Ross,Pro,Annual,499,04/02/2023,21/02/2026,Active,29,53,4,63%,Low,0
CUST-1125,Vibe Metrics 160,DevTools,UK,01-Oct,Elena Rostova,Starter,Annual,129,12/02/2023,28/02/2026,Active,6,7,0,94%,Low,0
CUST-1126,Quantum Solutions 739,HealthTech,UK,1000+,Sarah Jenkins,Enterprise,Monthly,4197,09/12/2023,21/02/2026,Active,294,338,2,92%,Low,0
CUST-1127,Omni Flow 579,CyberSecurity,India,51-200,Sarah Jenkins,Pro,Monthly,299,16/07/2025,21/02/2026,Active,19,32,5,50%,Low,0
CUST-1128,Hyper Metrics 870,MarTech,Germany,01-Oct,Sarah Jenkins,Starter,Annual,129,06/04/2024,16/02/2026,Active,3,6,7,52%,Low,0
CUST-1129,Nexus Labs 104,CyberSecurity,Australia,201-500,Elena Rostova,Enterprise,Monthly,3145,07/03/2024,28/02/2026,Failed,475,706,5,59%,Low,0
CUST-1130,Apex Tech 419,CyberSecurity,India,51-200,Aisha Khan,Pro,Monthly,299,30/03/2023,19/02/2026,Active,18,31,3,62%,Low,0
CUST-1131,Nexus AI 141,HealthTech,France,201-500,Marcus Vance,Enterprise,Annual,7512,06/10/2024,22/02/2026,Active,454,706,3,65%,Low,0
CUST-1132,Cloud Metrics 275,MarTech,Germany,01-Oct,Elena Rostova,Starter,Monthly,79,02/06/2025,29/11/2025,Failed,4,9,6,50%,Medium,1
CUST-1133,Quantum Logic 402,EdTech,Canada,51-200,Marcus Vance,Pro,Monthly,299,05/12/2025,27/02/2026,Active,15,23,4,65%,Low,0
CUST-1134,Secure AI 748,EdTech,Germany,01-Oct,Marcus Vance,Starter,Monthly,129,14/05/2024,15/02/2026,Active,5,9,5,58%,Low,0
CUST-1135,Hyper Logic 921,CyberSecurity,Canada,Nov-50,Elena Rostova,Starter,Annual,79,10/12/2023,24/02/2026,Active,7,10,4,83%,Low,0
CUST-1136,Nexus Flow 142,E-Commerce,UK,01-Oct,David Ross,Starter,Monthly,99,13/10/2025,22/02/2026,Active,1,4,6,52%,Low,0
CUST-1137,Omni Solutions 281,Logistics,Canada,01-Oct,David Ross,Starter,Annual,79,14/04/2025,15/02/2026,Active,5,9,4,53%,Low,0
CUST-1138,Cloud Tech 452,MarTech,India,01-Oct,Sarah Jenkins,Starter,Annual,99,11/01/2025,18/02/2026,Active,9,10,3,86%,Low,0
CUST-1139,Cloud Scale 950,CyberSecurity,UK,201-500,Sarah Jenkins,Enterprise,Monthly,4808,24/05/2023,28/02/2026,Active,238,425,6,61%,Low,0
CUST-1140,Cloud Labs 800,CyberSecurity,Germany,201-500,Marcus Vance,Enterprise,Annual,4182,24/09/2025,18/02/2026,Active,587,768,2,72%,Low,0
CUST-1141,Apex Flow 611,Logistics,Australia,Nov-50,Sarah Jenkins,Starter,Monthly,129,27/03/2025,24/02/2026,Active,2,5,6,57%,Low,0
CUST-1142,Quantum Solutions 584,DevTools,Germany,Nov-50,Sarah Jenkins,Starter,Annual,129,14/12/2024,16/02/2026,Active,6,7,1,100%,Low,0
CUST-1143,Omni Logic 571,MarTech,USA,51-200,Sarah Jenkins,Pro,Annual,249,11/07/2025,23/02/2026,Active,26,40,5,69%,Low,0
CUST-1144,Vibe AI 213,HealthTech,UK,501-1000,Aisha Khan,Enterprise,Annual,5539,02/12/2024,23/02/2026,Active,429,544,1,78%,Low,0
CUST-1145,Data Metrics 102,MarTech,USA,51-200,David Ross,Pro,Monthly,399,15/01/2025,19/02/2026,Active,22,24,4,87%,Low,0
CUST-1146,Cloud Tech 815,HealthTech,France,1000+,Marcus Vance,Enterprise,Monthly,3958,11/02/2024,24/02/2026,Active,591,846,1,80%,Low,0
CUST-1147,Data Scale 466,DevTools,France,01-Oct,David Ross,Starter,Monthly,99,15/10/2024,24/02/2026,Active,2,4,3,49%,Low,0
CUST-1148,Data Flow 518,DevTools,India,01-Oct,Sarah Jenkins,Starter,Annual,129,19/03/2023,27/02/2026,Active,6,8,2,82%,Low,0
CUST-1149,Vibe Flow 603,DevTools,Germany,51-200,Marcus Vance,Pro,Monthly,249,02/01/2023,21/02/2026,Active,18,38,6,47%,Low,0
CUST-1150,Quantum Solutions 627,HealthTech,India,01-Oct,Elena Rostova,Starter,Annual,129,09/10/2025,23/02/2026,Active,8,10,4,82%,Low,0
CUST-1151,Pulse Logic 990,HealthTech,Singapore,01-Oct,Marcus Vance,Starter,Annual,99,08/07/2025,16/02/2026,Active,2,5,3,59%,Low,0
CUST-1152,Pulse Metrics 365,E-Commerce,India,51-200,Elena Rostova,Pro,Annual,399,07/04/2023,23/02/2026,Active,18,45,4,47%,Low,0
CUST-1153,Omni Net 535,EdTech,Canada,Nov-50,Aisha Khan,Starter,Monthly,49,18/08/2024,22/02/2026,Active,5,7,4,70%,Low,0
CUST-1154,Quantum Logic 664,FinTech,Singapore,501-1000,Elena Rostova,Enterprise,Monthly,8440,15/03/2024,25/02/2026,Active,678,755,0,92%,Low,0
CUST-1155,Secure Sphere 518,Logistics,India,01-Oct,Aisha Khan,Starter,Monthly,49,27/01/2025,26/02/2026,Active,3,7,6,45%,Low,0
CUST-1156,Omni Net 196,DevTools,UK,01-Oct,Aisha Khan,Starter,Annual,99,28/09/2025,23/02/2026,Active,3,8,5,54%,Low,0
CUST-1157,Nexus Logic 758,HealthTech,Singapore,01-Oct,Elena Rostova,Starter,Monthly,99,14/02/2024,18/02/2026,Failed,6,9,1,71%,Low,0
CUST-1158,Hyper Scale 480,HealthTech,Australia,01-Oct,Elena Rostova,Starter,Monthly,129,22/10/2025,22/02/2026,Active,4,9,7,47%,Low,0
CUST-1159,Nexus Sphere 260,FinTech,UK,201-500,Aisha Khan,Pro,Annual,249,22/11/2025,24/02/2026,Active,33,47,4,79%,Low,0
CUST-1160,Secure Tech 733,EdTech,France,51-200,David Ross,Pro,Monthly,399,23/11/2024,28/02/2026,Active,32,49,5,59%,Low,0
CUST-1161,Omni Flow 853,Logistics,UK,Nov-50,Sarah Jenkins,Starter,Monthly,79,24/01/2025,25/02/2026,Active,4,10,6,42%,Low,0
CUST-1162,Vibe Metrics 419,E-Commerce,India,51-200,Marcus Vance,Pro,Monthly,499,27/07/2023,21/02/2026,Active,28,48,3,68%,Low,0
CUST-1163,Omni Scale 976,CyberSecurity,India,01-Oct,Marcus Vance,Starter,Monthly,129,18/11/2023,27/02/2026,Active,3,4,1,91%,Low,0
CUST-1164,Omni Flow 742,MarTech,USA,Nov-50,Aisha Khan,Starter,Monthly,99,14/09/2024,17/02/2026,Failed,4,6,3,80%,Low,0
CUST-1165,Cloud Flow 587,EdTech,Australia,01-Oct,Marcus Vance,Starter,Monthly,99,20/11/2024,26/02/2026,Failed,7,8,0,97%,Low,0
CUST-1166,Data Net 918,HealthTech,Canada,01-Oct,Sarah Jenkins,Starter,Monthly,129,31/05/2024,20/02/2026,Active,3,7,5,49%,Low,0
CUST-1167,Hyper Labs 507,Logistics,India,Nov-50,Marcus Vance,Starter,Monthly,99,16/10/2025,28/02/2026,Active,1,4,4,60%,Low,0
CUST-1168,Vibe Solutions 558,HealthTech,Singapore,01-Oct,Aisha Khan,Starter,Annual,129,15/07/2025,23/02/2026,Active,4,9,4,59%,Low,0
